Source,Reused-human,Final-annnotation
"What's the title of the slow song that goes like: ""it goes abc like 123â€¦""?","اُس سست رفتار گانے کا نام کیا ہے جس کی لائن ہے: ""it goes abc like 123...""؟",M
"A photon leaves the sun, hits a leaf, hits my retina. Is the photon that hit my retina exactly the same photon from the Sun?","ایک فوٹون سورج سے نکلتا ہے، پتے سے ٹکراتا ہے، پھر میری آنکھ کی ریٹینا سے۔ کیا یہ وہی فوٹون ہے جو سورج سے آیا تھا؟",M
Why is breaking/shattering glass so loud?,شیشہ ٹوٹنے کی آواز اتنی تیز کیوں ہوتی ہے؟,M
"Mobile number portability finally will start on May 3rd, including changing circles. Have network providers really agreed to this?","3 مئی سے موبائل نمبر پورٹیبلٹی شروع ہوگی، جس میں سرکل کی تبدیلی بھی شامل ہے۔ کیا نیٹ ورک فراہم کرنے والوں نے اس پر واقعی اتفاق کر لیا ہے؟",M
Which is the best OS for a mobile ? iOS or Android or Windows and why?,"موبائل کے لیے سب سے بہترین آپریٹنگ سسٹم کون سا ہے: iOS، Android یا Windows؟ اور کیوں؟",M
How can I entirely turn off syntax highlighting in Sublime Text for Golang?,میں Sublime Text میں Golang کے لیے syntax highlighting کو مکمل طور پر کیسے بند کر سکتا ہوں؟,M
Is it easier to renew an Indian passport in India versus in the US?,بھارتی پاسپورٹ کی تجدید بھارت میں آسان ہے یا امریکہ میں؟,M
"How would you answer this question in a job interview: ""Tell me about any situation in your life where you find it difficult to have a solution of any problem but finally you got it?""","آپ نوکری کے انٹرویو میں اس سوال کا جواب کیسے دیں گے: ""اپنی زندگی میں ایسی کسی صورتحال کے بارے میں بتائیں جس کا حل تلاش کرنا مشکل تھا لیکن آخرکار آپ نے حل نکالا؟""",M
"I want to become a pilot. For someone with no background, where is the first place to begin courses, and what sources should I be reading every day?","میں پائلٹ بننا چاہتا ہوں۔ کسی ایسے شخص کے لیے جس کا کوئی پس منظر نہ ہو، کورسز کہاں سے شروع کیے جائیں اور روزانہ کون سے ذرائع کا مطالعہ کیا جائے؟",M
What are the qualitative methods involved in user research?,یوزر ریسرچ میں شامل معیاری (qualitative) طریقہ کار کون سے ہوتے ہیں؟,M
What is unusual or different about the food and cuisine in Russia?,روسی کھانوں اور پکوانوں میں کیا منفرد یا مختلف چیزیں ہیں؟,M
How does a person's genotype turn into their phenotype?,کسی انسان کا جینوٹائپ کس طرح فینوٹائپ میں تبدیل ہوتا ہے؟,M
What were the results of the first Thiel Fellowship Class?,پہلے تھیل فیلوشپ کلاس کے نتائج کیا تھے؟,M
What is the effect of location on wind speed?,مقام کا ہوا کی رفتار پر کیا اثر ہوتا ہے؟,M
What does design mean to you?,آپ کے نزدیک ڈیزائن کا کیا مطلب ہے؟,M
What is direct cell division?,ڈائریکٹ سیل ڈویژن کیا ہوتا ہے؟,M
What are some things new employees should know going into their first day at Boston Scientific?,بوسٹن سائنٹیفک میں پہلے دن جانے والے نئے ملازمین کو کن چیزوں کا علم ہونا چاہیے؟,M
What is the best way to impress a girl?,لڑکی کو متاثر کرنے کا سب سے بہترین طریقہ کیا ہے؟,M
What do I need if I want to succeed in business?,اگر میں کاروبار میں کامیاب ہونا چاہتا ہوں تو مجھے کیا چیزیں درکار ہوں گی؟,M
How do you know if someone blocked you at imo?,آپ کیسے جان سکتے ہیں کہ کسی نے آپ کو imo پر بلاک کر دیا ہے؟,M
What is sap bi?,SAP BI کیا ہے؟,M
What is compound of scabicides?,سکابی سائیڈز کے مرکبات کیا ہوتے ہیں؟,M
"Which is easier, web designing or development?",ویب ڈیزائننگ یا ویب ڈیولپمنٹ میں سے کون سا آسان ہے؟,M
Is this really immoral and unethical and should I be ashamed of it?,"کیا یہ واقعی غیر اخلاقی اور غلط ہے، اور کیا مجھے اس پر شرمندہ ہونا چاہیے؟",M
Why does body temperature rise during fever?,بخار کے دوران جسم کا درجہ حرارت کیوں بڑھ جاتا ہے؟,M
What are the best professions for attaining wealth and a great physique?,دولت اور بہترین جسمانی ساخت حاصل کرنے کے لیے سب سے اچھے پیشے کون سے ہیں؟,M
I want to go to a technical college but I don't know what I want to study. What do I do?,میں تکنیکی کالج جانا چاہتا ہوں لیکن مجھے نہیں معلوم کہ کیا پڑھنا ہے۔ مجھے کیا کرنا چاہیے؟,M
How much and with what should I feed my 3 months old raven?,میرے تین مہینے کے قُطرے کو میں کتنی مقدار اور کس چیز سے غذا دوں؟,M
What are the best ways to find native English speakers interested in communicating with students to improve their English as a foreign language?,ایسے انگریزی بولنے والوں کو تلاش کرنے کے بہترین طریقے کون سے ہیں جو غیر ملکی طلبہ کی انگریزی بہتر بنانے میں دلچسپی رکھتے ہوں؟,M
Were there any major snubs with the 2016 Golden Globe Nominations?,کیا 2016 کے گولڈن گلوب ایوارڈز کی نامزدگیوں میں کوئی بڑی نظراندازیاں ہوئیں؟,M
What universities does Pioneer Natural Resources recruit new grads from? What majors are they looking for?,پائینئر نیچرل ریسورسز کن یونیورسٹیوں سے نئے گریجویٹس بھرتی کرتی ہے؟ اور وہ کن میجرز کی تلاش میں ہوتے ہیں؟,M
Is President-elect Donald Trump President Putin's Trojan Horse?,کیا منتخب صدر ڈونلڈ ٹرمپ صدر پوتن کا ٹروجن ہارس ہیں؟,M
How can I conduct research on a specific topic online? How can I manipulate the web to get the results I am specifically looking for?,میں کسی مخصوص موضوع پر آن لائن تحقیق کیسے کر سکتا ہوں؟ اور ویب کو اپنے مطلوبہ نتائج حاصل کرنے کے لیے کس طرح استعمال کر سکتا ہوں؟,M
How did Don't Breathe (2016 movie) get greenlit? What's the backstory of how the movie got made?,فلم Don't Breathe (2016) کو منظوری کیسے ملی؟ اس کی تیاری کے پیچھے کیا کہانی ہے؟,M
Was tamil movie director k.balachander overrated?,کیا تمل فلم ڈائریکٹر کے. بالاچندر کو ضرورت سے زیادہ سراہا گیا؟,M
Can I learn data structures from CLRS as it is a book on algorithms?,کیا میں CLRS جیسی الگورتھمز کی کتاب سے ڈیٹا اسٹرکچرز سیکھ سکتا ہوں؟,M
What can I do with a sociology degree?,سماجیات کی ڈگری کے ساتھ میں کیا کر سکتا ہوں؟,M
"My brother is a job holder in Detroit, he didnt got h1b visa, what's the solution for him to continue the job other than rejoining in a new college for a student visa?","میرا بھائی ڈیٹرائٹ میں کام کر رہا ہے، مگر اسے H1B ویزا نہیں ملا۔ کیا اسٹوڈنٹ ویزا کے لیے دوبارہ کالج میں داخلہ لینے کے علاوہ کوئی اور حل ہے؟",M
How can a black hole emit sound?,ایک بلیک ہول آواز کیسے پیدا کر سکتا ہے؟,M
What are the best ways to get internships?,انٹرن شپس حاصل کرنے کے بہترین طریقے کون سے ہیں؟,M
I'm gay and I think one of my closest friends may be bi-curious. I'm interested in a relationship with him as I have massive feelings for him. He knows I'm gay. Should I ask him about the whole bi-curious thing and see if he is interested in having a same-sex relationship?,میں ہم جنس پرست ہوں اور مجھے لگتا ہے کہ میرا قریبی دوست بائی کیوریئس ہو سکتا ہے... کیا مجھے اس سے اس بارے میں بات کرنی چاہیے؟,M
Which is the best online grocery shopping website in Delhi?,دہلی میں سب سے بہترین آن لائن گروسری ویب سائٹ کون سی ہے؟,M
What should I do to stand out when starting a YouTube channel?,یوٹیوب چینل شروع کرتے وقت نمایاں ہونے کے لیے مجھے کیا کرنا چاہیے؟,M
How do I improve self confidence?,میں اپنی خود اعتمادی کیسے بہتر بنا سکتا ہوں؟,M
Knowledge of a embedded c kernel developer?,ایک ایمبیڈڈ سی کرنل ڈیویلپر کے لیے کیا علم ضروری ہے؟,M
What are the meanings of Hindi and Urdu words Anumati and Ijazat respectively?,ہندی لفظ “अनुमति” اور اردو لفظ “اجازت” کا کیا مطلب ہے؟,M
Where can I get a Sailor Moon DVD box set?,میں Sailor Moon کی ڈی وی ڈی باکس سیٹ کہاں سے حاصل کر سکتا ہوں؟,M
What do you think about Minimalism?,آپ منیمالزم (سادگی پسندانہ طرز زندگی) کے بارے میں کیا سوچتے ہیں؟,M
My sister told my crush that I like her without me asking her to do so. What should I do now?,"میری بہن نے میرے کرش کو بتا دیا کہ میں اسے پسند کرتا ہوں، بغیر میری اجازت کے۔ اب مجھے کیا کرنا چاہیے؟",M
Is Bernie Sanders the presidential candidate most aligned with Noam Chomsky's views?,کیا برنی سینڈرز وہ امیدوار ہیں جو نوم چومسکی کے نظریات سے سب سے زیادہ مطابقت رکھتے ہیں؟,M
What are the latest technologies in the computer field?,کمپیوٹر کے میدان میں تازہ ترین ٹیکنالوجیز کون سی ہیں؟,M
"Jobs and Careers: If a cab driver makes more money than an IT professional, why should I study?",اگر ایک ٹیکسی ڈرائیور آئی ٹی پروفیشنل سے زیادہ کماتا ہے تو پھر میں تعلیم کیوں حاصل کروں؟,M
Why do I need LIC policy?,مجھے LIC انشورنس پالیسی کی ضرورت کیوں ہے؟,M
What do you have to do to become an airline pilot?,ہوائی جہاز کا پائلٹ بننے کے لیے کیا کرنا پڑتا ہے؟,M
What can I do to avoid being jealous of someone?,کسی سے حسد کرنے سے بچنے کے لیے میں کیا کر سکتا ہوں؟,M
What is the difference between the words burglary and robbery?,Burglary اور Robbery کے الفاظ میں کیا فرق ہے؟,M
"Got a bad dream and woke up at 12am mid-night, What does that mean? As I felt so real and got full sweat and shivering?",اگر آپ کو آدھی رات کو کوئی برا خواب آئے تو اس کا مطلب کیا ہو سکتا ہے؟,M
How do I read the newspaper effectively?,میں اخبار کو مؤثر طریقے سے کیسے پڑھوں؟,M
Admission to INSEAD?,INSEAD میں داخلے کا طریقہ کار کیا ہے؟,M
What is the procedure to open blocked account in kotakmahindra bank?,کوٹک مہندرا بینک میں بلاک اکاؤنٹ کھولنے کا کیا طریقہ کار ہے؟,M
What is a bearing?,بیرنگ (bearing) کیا ہوتا ہے؟,M
Why can't steel and aluminum be welded together?,اسٹیل اور ایلومینیم کو ایک ساتھ ویلڈ کیوں نہیں کیا جا سکتا؟,M
"Which is better, Google or Yahoo maps?",گوگل میپس بہتر ہے یا یاہو میپس؟,M
I got 93%in 10th and 71%in 11th commerce. Is there any chance of getting in IIM-A after 3 years? How much should I get in 12th for that?,اگر میرے 10ویں میں 93٪ اور 11ویں کامرس میں 71٪ نمبر ہیں تو کیا میرے IIM-A میں داخلے کا کوئی امکان ہے؟,M
What is the best place in India to visit?,بھارت میں سیر و سیاحت کے لیے سب سے بہترین جگہ کون سی ہے؟,M
What is the oldest book for sale on Amazon?,ایمیزون پر فروخت کے لیے دستیاب سب سے پرانی کتاب کون سی ہے؟,M
"Why have the Clintons, Bill and Hillary both, enjoyed such support from minorities in America? What did they do to earn it?",بل اور ہیلری کلنٹن کو امریکی اقلیتوں کی اتنی حمایت کیوں حاصل ہے؟,M
How do sports contribute to the society?,کھیل سماج میں کس طرح مثبت کردار ادا کرتے ہیں؟,M
Why do I still pay property taxes on a house that is paid off?,اگر مکان مکمل ادائیگی کے بعد میرا ہو چکا ہے تو مجھے پراپرٹی ٹیکس کیوں دینا پڑتا ہے؟,M
What is it like to live in New York City?,نیویارک شہر میں رہنے کا تجربہ کیسا ہوتا ہے؟,M
"If I attempt just the multiple choice questions in the Biology AP exam, can I get a 5?",اگر میں Biology AP امتحان میں صرف ملٹی پل چوائس سوالات حل کروں تو کیا مجھے 5 نمبر مل سکتے ہیں؟,M
Do you think the Chinese economy will sustain its economic growth in years to come or will it collapse?,کیا آپ سمجھتے ہیں کہ چینی معیشت آنے والے برسوں میں ترقی جاری رکھے گی یا تباہ ہو جائے گی؟,M
Which are some good courses to masters in electronics engineering?,الیکٹرانکس انجینئرنگ میں ماسٹرز کرنے کے لیے کون سے اچھے کورسز ہیں؟,M
Can I play GTA 5 in Xbox 360 E?,کیا میں Xbox 360 E پر GTA 5 کھیل سکتا ہوں؟,M
"If you were a color, what color would you be and why?","اگر آپ ایک رنگ ہوتے، تو کون سا رنگ ہوتے اور کیوں؟",M
How should an inner thigh lump be treated?,ران کے اندر موجود گٹھلی کا علاج کیسے کیا جائے؟,M
What are some of the best Hindi dubbed South Indian movies?,بہترین ہندی ڈبڈ ساؤتھ انڈین فلمیں کون سی ہیں؟,M
Person of Interest (TV series): Why doesn't the machine see that Reese is in danger?,Person of Interest میں مشین یہ کیوں نہیں دیکھتی کہ ریس خطرے میں ہے؟,M
Who are some successful buddhist entrepreneurs?,کچھ کامیاب بدھ مت کاروباری شخصیات کون سی ہیں؟,M
What do famous people do after they stop being famous?,مشہور لوگ غیر معروف ہونے کے بعد کیا کرتے ہیں؟,M
How did they say breakfast in Portuguese before coffee was introduced to Europeans & the Portuguese language?,کافی کی دریافت سے پہلے پرتگالی زبان میں ناشتہ کس لفظ سے بیان کیا جاتا تھا؟,M
What are some things new employees should know going into their first day at Dunkin' Brands?,Dunkin' Brands میں پہلے دن کام پر جانے والے نئے ملازمین کو کیا جاننا چاہیے؟,M
Is it better to join two GATE online test series at a time without any problem?,کیا ایک وقت میں دو GATE آن لائن ٹیسٹ سیریز میں شامل ہونا بہتر ہے؟,M
Which are the VLSI related core companies in India for a fresher?,بھارت میں نئے گریجویٹس کے لیے VLSI سے متعلق کور کمپنیاں کون سی ہیں؟,M
"What logic department stores in US (Macy's, JC Penney and etc.) use to determine what specific product is good as a gift for which specific occasion?","امریکہ میں ڈپارٹمنٹ اسٹورز (جیسے Macy's، JC Penney) یہ کیسے طے کرتے ہیں کہ کون سا تحفہ کس موقع کے لیے موزوں ہے؟",M
What is the best time of day to drive for Uber X?,Uber X چلانے کے لیے دن کا بہترین وقت کون سا ہے؟,M
How do I remove an app from iCloud?,میں iCloud سے کوئی ایپ کیسے ہٹاؤں؟,M
Korean (language): Will Hanja experience a resurgence in South Korea?,کیا کوریا میں ہانجا (Hanja) رسم الخط دوبارہ مقبول ہوگا؟,M
Why are Muslims often stereotyped as terrorists?,مسلمانوں کو اکثر دہشت گرد کیوں سمجھا جاتا ہے؟,M
What are the best aspects of being a television actor/actress?,ٹی وی اداکار/اداکارہ ہونے کے بہترین پہلو کیا ہیں؟,M
What over the counter medicines are similar to Ambien?,Ambien جیسی کون سی OTC (بغیر نسخے کی) ادویات دستیاب ہیں؟,M
Is TOEIC exam very important for Chinese who work in a foreign enterpirse?,غیر ملکی اداروں میں کام کرنے والے چینیوں کے لیے TOEIC امتحان کتنا ضروری ہے؟,M
What will happen if I drink 8 glasses of water after eating a lot of carbs?,اگر میں بہت سارے کاربز کھانے کے بعد 8 گلاس پانی پیوں تو کیا ہوگا؟,M
Are there any institutes offering courses in HR analytics in India?,کیا بھارت میں HR اینالٹکس کے کورسز فراہم کرنے والے ادارے موجود ہیں؟,M
What are some good real estate agencies in ahmedabad?,احمد آباد میں کچھ اچھی رئیل اسٹیٹ ایجنسیاں کون سی ہیں؟,M
How can I retrieve a discarded draft on Gmail?,میں Gmail پر حذف شدہ ڈرافٹ کو کیسے بازیافت کر سکتا ہوں؟,M
I plan to buy a premium theme from ThemeForest and host it on managed WordPress a/c for 3 years. What are the steps and precautions to be followed?,میں ThemeForest سے ایک پریمیم تھیم خرید کر اسے Managed WordPress اکاؤنٹ پر 3 سال کے لیے ہوسٹ کرنا چاہتا ہوں۔ مجھے کون سے اقدامات اور احتیاطی تدابیر اختیار کرنی چاہئیں؟,M
I am a early stage first time founder who wants to angel invest in a startup in my accelerator programs cohort. I do not have a salary yet nor is my net worth > $1m. Can I invest?,میں ایک ابتدائی مرحلے کا بانی ہوں جو اپنے ہی ایکسیلیریٹر پروگرام کے اسٹارٹ اپ میں اینجل سرمایہ کاری کرنا چاہتا ہوں... کیا میں سرمایہ کاری کر سکتا ہوں؟,M
How does an alkane become an alkene?,ایک الکین الکین میں کیسے تبدیل ہوتا ہے؟,M
What are some good Android app ideas (no games)?,کچھ اچھے اینڈرائیڈ ایپ آئیڈیاز بتائیں (گیمز کے علاوہ)؟,M
Can begging be dropped?,کیا بھیک مانگنے کی روایت کو ختم کیا جا سکتا ہے؟,M
What are the problems people face when moving from their homes?,لوگ جب اپنا گھر چھوڑتے ہیں تو انہیں کن مسائل کا سامنا ہوتا ہے؟,M
How much will a trip to Dubai cost?,دبئی کے سفر پر کل کتنا خرچ آئے گا؟,M
What does the cerebral cortex control?,سیریبرل کارٹیکس کون کون سے افعال کو کنٹرول کرتا ہے؟,M
How do I get my body in shape?,میں اپنے جسم کو کس طرح فٹ بنا سکتا ہوں؟,M
How does one become an atheist?,ایک انسان ناستک (atheist) کیسے بنتا ہے؟,M
How do I find a corporate firm which could be interested in discussing my startup idea?,میں ایسی کارپوریٹ کمپنی کیسے تلاش کروں جو میرے اسٹارٹ اپ آئیڈیا میں دلچسپی رکھتی ہو؟,M
Why are cancer rates increasing over the years?,وقت کے ساتھ ساتھ کینسر کی شرح میں اضافہ کیوں ہو رہا ہے؟,M
"What is the placement scenario of M.Tech computer science in IITs, NITs, IIITs?","IITs، NITs، اور IIITs میں M.Tech کمپیوٹر سائنس کے لیے پلیسمنٹ کی صورتحال کیسی ہے؟",M
What is unusual or different about the food and cuisine in Pakistan?,پاکستان کے کھانوں اور پکوانوں میں کیا منفرد یا مختلف چیز ہوتی ہے؟,M
What are some theories of time travel?,وقت کے سفر سے متعلق کچھ اہم نظریات کون سے ہیں؟,M
Is it appropriate to ask a girl to share a travel suitcase?,کیا کسی لڑکی سے ٹریول سوٹ کیس شیئر کرنے کو کہنا مناسب ہے؟,M
How do I describe the characteristics of life?,زندگی کی خصوصیات کو کس طرح بیان کیا جا سکتا ہے؟,M
What is the maximum number of attempts taken to clear CA in the history of CA?,CA کی تاریخ میں کسی نے زیادہ سے زیادہ کتنی بار امتحان دینے کے بعد کامیابی حاصل کی؟,M
Are any states doing recounts of votes cast in the 2016 elections?,کیا 2016 کے انتخابات میں کسی ریاست نے ووٹوں کی دوبارہ گنتی کی؟,M
"I want to connect with you, how can I do that?","میں آپ سے جڑنا چاہتا ہوں، یہ کیسے ممکن ہے؟",M
What does the color in booking page of IRCTC mean?,IRCTC کے بکنگ صفحے پر مختلف رنگوں کا کیا مطلب ہوتا ہے؟,M
What are the strongest majors in terms of job prospects and what are the weakest majors at Colorado College?,Colorado College میں ملازمت کے مواقع کے لحاظ سے سب سے مضبوط اور کمزور میجرز کون سے ہیں؟,M
How do I start a non profit?,میں ایک نان پرافٹ تنظیم کیسے شروع کر سکتا ہوں؟,M
What is the best way to treat a snake bite?,سانپ کے کاٹے کا سب سے مؤثر علاج کیا ہے؟,M
Was this character from Beyond Thunderdome (pictured in the details) somehow related to the War Boys in Mad Max: Fury Road?,کیا Beyond Thunderdome کا یہ کردار Mad Max: Fury Road کے War Boys سے تعلق رکھتا ہے؟,M
What will happen after we die? What about our thoughts?,مرنے کے بعد کیا ہوتا ہے؟ ہماری سوچوں کا کیا بنتا ہے؟,M
What are the job levels in the Apple technical career track?,ایپل کے ٹیکنیکل کیریئر ٹریک میں ملازمت کی کون سی سطحیں ہوتی ہیں؟,M
What is best part of the questions/answers on Quora?,Quora پر سوال و جواب کا سب سے اچھا پہلو کیا ہے؟,M
Which is the best desktop computer under 25000 INR?,25000 روپے سے کم میں بہترین ڈیسک ٹاپ کمپیوٹر کون سا ہے؟,M
What is a good source to learn mathematica?,Mathematica سیکھنے کے لیے بہترین ذریعہ کیا ہے؟,M
What are some important factors that keep bones healthy and strong?,ہڈیوں کو صحت مند اور مضبوط رکھنے والے اہم عوامل کون سے ہیں؟,M
How can I enjoy learning?,میں مطالعہ سے لطف کیسے حاصل کر سکتا ہوں؟,M
How do I solve this equation?,میں اس مساوات کو کیسے حل کروں؟,M
Why do I feel burdened around people I love?,میں ان لوگوں کے قریب بوجھ محسوس کیوں کرتا ہوں جن سے محبت کرتا ہوں؟,M
Is the New York Times failing?,کیا نیو یارک ٹائمز ناکام ہو رہی ہے؟,M
Can physical beating along with verbal abuse and yelling by mother make a son reluctant of physical contact with women?,"کیا ماں کی طرف سے جسمانی تشدد، زبانی بدسلوکی اور چیخنے کی وجہ سے بیٹا عورتوں سے جسمانی رابطے سے ہچکچانے لگتا ہے؟",M
How do I get Facebook badge notifications on HTC 10?,میں اپنے HTC 10 پر فیس بک بیج اطلاعات کیسے حاصل کروں؟,M
What is Democracy? What kind of Democracy is existing in Pakistan?,جمہوریت کیا ہے؟ پاکستان میں کس قسم کی جمہوریت موجود ہے؟,M
What are the aims of the City University of Hong Kong?,ہانگ کانگ کی سِٹی یونیورسٹی کے مقاصد کیا ہیں؟,M
I have been getting calls from random numbers lately. What should I reply to those who are calling me?,حال ہی میں مجھے بے ترتیب نمبروں سے کالز آ رہی ہیں۔ مجھے کال کرنے والوں کو کیا جواب دینا چاہیے؟,M
Is there an online pdf platform that will allow one to create a link to a specific page in the pdf?,کیا کوئی آن لائن پی ڈی ایف پلیٹ فارم ہے جو مخصوص صفحے کے لیے براہِ راست لنک بنانے کی سہولت دیتا ہو؟,M
Development Practice: Have you ever worked on a successful health project in rural Latin America? What made it successful?,ڈیولپمنٹ پریکٹس: کیا آپ نے کبھی لاطینی امریکہ کے دیہی علاقے میں کامیاب صحت کا منصوبہ کیا ہے؟ کیا چیز اسے کامیاب بناتی ہے؟,M
How long to become air force colonel?,کس قدر وقت لگے گا کہ میں ائیر فورس کا کرنل بن جاؤں؟,M
What are the design principles in web design?,ویب ڈیزائن میں کون سے اصول ہوتے ہیں؟,M
What is the best way to start robotics? Which is the best development board that I can start working on it?,روبوٹکس شروع کرنے کا سب سے بہترین طریقہ کیا ہے؟ کون سا ڈیولپمنٹ بورڈ ہے جس پر میں کام شروع کر سکوں؟,M
What causes death by hanging?,پھانسی دینے کی وجہ سے موت کا سبب کیا ہوتا ہے؟,M
What software license should I sign with a company with no restrictions as to my own usage of the code with no liability to the company?,مجھے کس قسم کی سافٹ ویئر لائسنس کمپنی کے ساتھ سائن کرنی چاہیے تاکہ میرے کوڈ استعمال کرنے پر کوئی پابندی نہ ہو اور کمپنی کو کوئی ذمہ داری نہ ہو؟,M
What is the sweetest thing?,سب سے میٹھی چیز کیا ہے؟,M
How can I tell if my girlfriend really loves me?,میں کیسے جان سکتا ہوں کہ میری گرل فرینڈ واقعی مجھ سے محبت کرتی ہے؟,M
What are the most mysterious ways that people have died?,لوگ سب سے پراسرار انداز میں کس طرح مرے ہیں؟,M
Does the multiverse have a multiverse?,کیا ملٹی ورس کا بھی ملٹی ورس ہے؟,M
I'm a girl in middle school. My best friends are all girls. I've found out that I'm bisexual. How do I tell my best friend who's a girl without her freaking out and it changing our whole friendship?,"میں مڈل اسکول میں ایک لڑکی ہوں، میری سب بہترین دوستیں لڑکیاں ہیں۔ میں نے جانا ہے کہ میں بائیسیکسول ہوں۔ میں اپنی سب سے اچھی دوست کو کیسے بتاؤں کہ وہ خوفزدہ نہ ہو اور ہماری دوستی نہ بدل جائے؟",M
"Why is it possible to remember that you dreamt, but not remember what the dream was about?","یہ ممکن کیوں ہے کہ آپ یہ یاد رکھیں کہ آپ نے خواب دیکھا، لیکن یاد نہ رکھ سکیں کہ خواب کا موضوع کیا تھا؟",M
What are the side effects of homeopathic medicines?,ہومیوپیتھک ادویات کے سائیڈ ایفیکٹس کیا ہیں؟,M
"How do I listen to Radio Mirchi 98.3 FM, the Pune radio station online?",میں Pune کی ریڈیو اسٹیشن Radio Mirchi 98.3 FM کو آن لائن کیسے سن سکتا ہوں؟,M
How can China be Communist and still have an ultra-rich class?,چین کمیونسٹ کیسے رہ سکتا ہے باوجود اس کے کہ وہاں بہت امیر طبقہ موجود ہے؟,M
What is your review of Pearl Academy?,آپ کا Pearl Academy کے بارے میں کیا جائزہ ہے؟,M
Does an electron flow through a capacitor or does it only charge the plate?,کیا ایک الیکٹران کپیسٹر کے ذریعے بہتا ہے یا صرف پلیٹ کو چارج کرتا ہے؟,M
What are best neuroscience books for beginners?,شروع کرنے والوں کے لیے بہترین نیوروسائنس کی کتابیں کون سی ہیں؟,M
What is the dress code for the AAAS Annual Meeting?,AAAS سالانہ اجلاس کے لیے لباس کا کیا معیار ہے؟,M
What are the steps that I should follow to get in a surgery residency program in Germany?,جرمنی میں سرجری ریزیڈنسی پروگرام حاصل کرنے کے لیے مجھے کون سے مراحل اپنانے چاہئیں؟,M
What should I do in a Group discussion when others keep fighting and won't let me talk even after I ask them to let me?,"گروپ ڈسکشن میں مجھے کیا کرنا چاہیے جب دیگر لوگ لڑتے رہیں اور مجھے بولنے نہ دیں، حالانکہ میں نے کہا کہ وہ مجھے بولنے دیں؟",M
I made a mistake on my passport application . I have not completed 10th . Should I reapply for a fresh passport or can it be corrected?,"میں نے پاسپورٹ درخواست میں غلطی کی ہے، میں نے دسویں جماعت مکمل نہیں کی ہے۔ کیا مجھے نیا پاسپورٹ اپلائی کرنا چاہیے یا اسے درست کیا جا سکتا ہے؟",M
Why did barvaria join Germany?,باویرِیا نے جرمنی میں شمولیت کیوں کی؟,M
Which hobby is sophisticates?,کون سا شوق زیادہ نفیس سمجھا جاتا ہے؟,M
I am planning to apply for Canada PR. What are my chances?,میں کینیڈا PR کے لیے درخواست دینے کا منصوبہ بنا رہا ہوں۔ میری کیا امکانات ہیں؟,M
Why am I so angry?,میں اتنا غصہ کیوں ہوں؟,M
What is the best way to memorize things?,چیزیں یاد رکھنے کا بہترین طریقہ کیا ہے؟,M
How can I be gay and dislike gay sex?,میں ہم جنس پرست کیسے ہوں اور ہم جنس تعلق کو ناپسند کیسے کر سکتا ہوں؟,M
What is a big or small problem that needs solving?,ایک بڑا یا چھوٹا مسئلہ کیا ہے جسے حل کرنے کی ضرورت ہے؟,M
"What are the best ways to reduce and eliminate belly, abdominal, and thigh fat?","پیٹ، ناف اور ران کی چربی کم کرنے اور ختم کرنے کے بہترین طریقے کون سے ہیں؟",M
How is a virus created in an operating system?,آپریٹنگ سسٹم میں وائرس کیسے بنایا جاتا ہے؟,M
What is your 'comfort food' book?,آپ کی “کمفرٹ فوڈ” کتاب کون سی ہے؟,M
Why are Telugu people dominated by north Indians?,جنوبی بھارت کے تیلگو لوگ شمالی ہندوستانیوں کے زیرِ اثر کیوں ہیں؟,M
What makes an effective business plan?,ایک مؤثر بزنس پلان کس چیز سے بنتی ہے؟,M
Are Moreno and Marino the same name but with different spellings?  Or do they have different origins?,کیا Moreno اور Marino ایک ہی نام ہیں مگر ہجے مختلف ہیں؟ یا ان کی الڳ جڑیں ہیں؟,M
Which book is good for quantitative aptitude and reasoning for IBPS?,IBPS کے لیے مقداری ذہانت اور استدلال کی کس کتاب کی سفارش کی جاتی ہے؟,M
Will Pakistan have a war with India?,کیا پاکستان اور بھارت کے درمیان جنگ ہوگی؟,M
How can I score above 90% in CBSE class 11 (PCM with CS)?,CBSE کلاس 11 (PCM with CS) میں 90٪ سے زائد نمبر کیسے حاصل کروں؟,M
What is fermentation?,فیرمنٹیشن کیا ہے؟,M
What is Product Hunt's technology stack?,Product Hunt کی ٹیکنالوجی اسٹیک کیا ہے؟,M
What is a web server?,ویب سرور کیا ہے؟,M
Which South American country is cheap to travel for a tourist?,جنوبی امریکہ کا کون سا ملک سیاح کے لیے سستا ہے؟,M
How do I take things my partner says less personally?,میں اپنے ساتھی کی باتوں کو کم ذاتی طور پر کیسے لوں؟,M
What is the best way to improve the overall external appearance?,بیرونی ظاہری شکل کو بہتر بنانے کا سب سے اچھا طریقہ کیا ہے؟,M
What are the references to Pokemon Red and Blue in Pokemon XY?,Pokémon XY میں Pokémon Red اور Blue کی کون کون سی اشارات ہیں؟,M
How can one own a tank (a battle tank) in India?,انسان بھارت میں ایک ٹینک (جنگی ٹینک) کس طرح مالک ہو سکتا ہے؟,M
How can I start a home base business?,میں گھر سے کاروبار کیسے شروع کر سکتا ہوں؟,M
Is it legal to kick my wife out of the house if she cheated on me?,کیا یہ قانونی ہے کہ اگر میری بیوی نے دھوکہ دیا ہو تو اسے گھر سے نکال دوں؟,M
